gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
TECR,protein_coding,2.1832342,37.128403,0.0,37.128403
AC122718.2,processed_pseudogene,-3.2598946,-37.102642,0.0,37.102642
RN7SL126P,misc_RNA,-6.4483743,-37.0368,0.0,37.0368
RNU6-33P,snRNA,-3.8550794,-37.009747,0.0,37.009747
AC016601.1,miRNA,-3.195188,-36.9951,0.0,36.9951
RN7SL655P,misc_RNA,-1.7278159,-36.991814,0.0,36.991814
COX5A,protein_coding,1.8778825,36.968773,0.0,36.968773
MED10,protein_coding,1.9233258,36.965992,0.0,36.965992
SP2,protein_coding,2.5538096,36.948353,0.0,36.948353
H3C10,protein_coding,-4.4811788,-36.867657,0.0,36.867657
H3C12,protein_coding,-5.1335573,-36.836967,0.0,36.836967
MIR2278,miRNA,-3.179733,-36.82095,0.0,36.82095
RN7SL516P,misc_RNA,-2.1403565,-36.806255,0.0,36.806255
H2BC11,protein_coding,-4.309044,-36.777187,0.0,36.777187
ATN1,protein_coding,3.3224,36.741776,0.0,36.741776
RN7SL33P,misc_RNA,-3.1688232,-36.720974,0.0,36.720974
RNF208,protein_coding,3.2061613,36.67822,0.0,36.67822
RN7SL813P,misc_RNA,-4.159176,-36.608273,0.0,36.608273
ECH1,protein_coding,2.0935988,36.58412,0.0,36.58412
RN7SL709P,misc_RNA,-4.315245,-36.546432,0.0,36.546432
RN7SL414P,misc_RNA,-1.6441875,-36.49129,0.0,36.49129
SPTSSA,protein_coding,2.3706174,36.490696,0.0,36.490696
PRDX2P3,processed_pseudogene,-2.3539035,-36.426414,0.0,36.426414
H2BC9,protein_coding,-4.266597,-36.341908,0.0,36.341908
AL732366.1,snoRNA,-3.8841128,-36.33664,0.0,36.33664
AC107956.1,processed_pseudogene,2.707004,36.307144,0.0,36.307144
RNVU1-31,snRNA,-3.46783,-36.25812,0.0,36.25812
GRINA,protein_coding,2.5006552,36.205067,0.0,36.205067
DYNLL1,protein_coding,1.814477,36.199364,0.0,36.199364
RPL24P2,processed_pseudogene,2.385404,36.19377,0.0,36.19377
NBDY,protein_coding,1.7498207,36.17852,0.0,36.17852
GAR1,protein_coding,2.6819746,36.163086,0.0,36.163086
AC007551.2,processed_pseudogene,-2.4245024,-36.157238,0.0,36.157238
MIR1296,miRNA,-3.571421,-36.1506,0.0,36.1506
RN7SL635P,misc_RNA,-2.3757823,-36.14921,0.0,36.14921
PTGES3P3,processed_pseudogene,1.8353108,36.143524,0.0,36.143524
PMVK,protein_coding,2.2742157,36.13659,0.0,36.13659
CYB5R3,protein_coding,2.4770641,36.133327,0.0,36.133327
QDPR,protein_coding,2.8886673,36.125675,0.0,36.125675
RNU2-36P,snRNA,-2.7818372,-36.053455,0.0,36.053455
ARHGDIA,protein_coding,2.1209354,36.0111,0.0,36.0111
AC027309.2,processed_pseudogene,2.4236383,35.974693,0.0,35.974693
RN7SL795P,misc_RNA,-3.2927437,-35.967545,0.0,35.967545
RN7SL502P,misc_RNA,-3.0590074,-35.942745,0.0,35.942745
CHMP4B,protein_coding,2.0676165,35.925686,0.0,35.925686
ERAL1,protein_coding,1.8742104,35.917694,0.0,35.917694
DNAJC4,protein_coding,1.975493,35.88006,0.0,35.88006
HSPB6,protein_coding,3.5513644,35.8776,0.0,35.8776
FTH1P8,processed_pseudogene,3.0240335,35.86574,0.0,35.86574
RN7SL16P,misc_RNA,-2.2751176,-35.78559,0.0,35.78559
ACAA1,protein_coding,1.7236941,35.769527,0.0,35.769527
RN7SL508P,misc_RNA,-3.4548752,-35.756958,0.0,35.756958
VAMP2,protein_coding,2.9846754,35.743786,0.0,35.743786
C19orf54,protein_coding,2.3834276,35.71249,0.0,35.71249
