variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_2000_PC,15,Spectral,6,0.1414,139.7,1.9898,0.3411,0.1496,0.2076,39,0.494,"39,39,63,49,79,59"
V1,MAD_2000_PC,15,Spectral,7,0.1319,124.2,1.947,0.2846,0.1737,0.2687,33,0.524,"63,55,33,51,39,39,48"
V1,MAD_2000_PC,20,KMeans,3,0.2924,242.1,1.496,0.6761,0.0251,0.0368,90,0.638,"97,141,90"
V1,MAD_2000_PC,20,KMeans,4,0.1937,188.9,1.7616,0.5121,0.0561,0.074,48,0.49,"48,89,93,98"
V1,MAD_2000_PC,20,KMeans,5,0.1607,154.8,1.9356,0.4001,0.1055,0.1489,51,0.567,"90,63,63,61,51"
V1,MAD_2000_PC,20,KMeans,6,0.1541,132.0,1.9599,0.3517,0.1061,0.181,34,0.378,"90,54,45,34,51,54"
V1,MAD_2000_PC,20,KMeans,7,0.1265,116.9,2.1241,0.277,0.1473,0.222,37,0.649,"57,43,45,47,37,47,52"
V1,MAD_2000_PC,20,Ward,3,0.278,230.7,1.6211,0.6805,0.0069,0.0176,82,0.582,"141,105,82"
V1,MAD_2000_PC,20,Ward,4,0.1714,176.2,1.8175,0.5466,0.0331,0.0707,34,0.318,"105,107,82,34"
V1,MAD_2000_PC,20,Ward,5,0.1477,146.9,1.9938,0.4475,0.0522,0.1061,34,0.318,"82,107,60,34,45"
V1,MAD_2000_PC,20,Ward,6,0.137,124.3,2.0513,0.3869,0.0739,0.144,34,0.318,"107,45,60,34,46,36"
V1,MAD_2000_PC,20,Ward,7,0.0962,108.6,2.3623,0.2913,0.0798,0.1503,34,0.493,"60,45,69,34,46,36,38"
V1,MAD_2000_PC,20,GMM,3,0.2612,214.9,1.8111,0.7171,0.0345,0.0564,60,0.426,"141,60,127"
V1,MAD_2000_PC,20,GMM,4,0.2562,166.9,1.7797,0.5941,0.0625,0.1118,41,0.291,"41,141,92,54"
V1,MAD_2000_PC,20,GMM,5,0.1283,133.2,2.0403,0.4775,0.0893,0.1317,24,0.212,"37,74,80,24,113"
V1,MAD_2000_PC,20,GMM,6,0.1179,111.2,2.1843,0.418,0.1056,0.162,30,0.263,"35,73,37,114,30,39"
V1,MAD_2000_PC,20,Spectral,3,0.2922,241.1,1.5071,0.6756,0.0294,0.0406,93,0.66,"94,141,93"
V1,MAD_2000_PC,20,Spectral,4,0.1917,188.0,1.7711,0.5114,0.0611,0.0776,48,0.511,"93,94,93,48"
V1,MAD_2000_PC,20,Spectral,5,0.1592,151.9,1.9606,0.4129,0.119,0.1508,47,0.505,"93,63,48,77,47"
V1,MAD_2000_PC,20,Spectral,6,0.1309,128.1,2.0846,0.3387,0.1553,0.207,39,0.506,"61,39,48,77,41,62"
